icd_code,vocabulary,events_in_extract,who_term,cm_term,terms_agree,icd_retired,option_A_phecodex_CM_map,option_B_snomed_route,snomed_concept,snomed_source_coverage,automated_flag,adjudication_A_or_B,clinician_notes
M7966,ICD10,2365,"Pain in limb, lower leg",Pain in lower leg,differ,no,SS_809 [Pain]; SS_809.3 [Pain in limb]; SS_809.31 [Pain in arm*],SS_809 [Pain]; SS_809.3 [Pain in limb],10601006 Pain in lower limb,4/4,"CHECK: WHO term says 'leg', CM phecode says 'arm'",B,A is an upstream PhecodeX defect: M79.65x (thigh) and M79.66x (lower leg) are mapped to SS_809.31 [Pain in arm*] instead of SS_809.32 [Pain in leg*]. Take B (stop at SS_809.3 Pain in limb) rather than assert arm pain.
M7967,ICD10,455,"Pain in limb, ankle and foot",Pain in foot and toes,differ,no,SS_809 [Pain]; SS_809.3 [Pain in limb]; SS_809.34 [Pain in foot and toes*],SS_809 [Pain]; SS_809.3 [Pain in limb],10601006 Pain in lower limb,4/4,,A,CM map adds specificity the code term already implies.
M7964,ICD10,145,"Pain in limb, hand",Pain in hand and fingers,differ,no,SS_809 [Pain]; SS_809.3 [Pain in limb]; SS_809.33 [Pain in hand and fingers*],SS_809 [Pain]; SS_809.3 [Pain in limb],102556003 Pain in upper limb,3/3,,A,CM map adds specificity the code term already implies.
S7240,ICD10,125,"Fracture of lower end of femur, closed",Unspecified fracture of lower end of femur,differ,no,MS_745 [Fractures]; MS_745.1 [Fracture of lower limb]; MS_745.11 [Fracture of femur],MS_745 [Fractures]; MS_745.1 [Fracture of lower limb],"263233008 Closed fracture of femur, distal end",37/37,,A,CM map adds specificity the code term already implies.
M6514,ICD10,44,"Other infective (teno)synovitis, hand","Other infective (teno)synovitis, hand",yes,no,MS_721 [Synoviopathy and bursopathy]; MS_721.1 [Synovitis and tenosynovitis]; MS_721.15 [Infective (teno)synovitis*],MS_721 [Synoviopathy and bursopathy]; MS_721.1 [Synovitis and tenosynovitis],1260436007 Synovitis and tenosynovitis of joint of hand,12/12,,A,CM map adds specificity the code term already implies.
B59,ICD10,39,Pneumocystosis,Pneumocystosis,yes,yes,ID_076 [Pneumocystosis]; ID_089 [Infections]; ID_089.3 [Fungal infections]; RE_468 [Pneumonia]; RE_468.5 [Pneumonia due to fungus],ID_076 [Pneumocystosis]; ID_089 [Infections]; ID_089.3 [Fungal infections],88860002 Pneumocystosis,3/3,,A,CM map adds specificity the code term already implies.
G564,ICD10,14,Causalgia,Causalgia of upper limb,differ,yes,NS_336 [Mononeuropathies]; NS_336.4 [Mononeuritis of upper limb]; NS_343 [Disorders of autonomic nervous system]; NS_343.3 [Complex regional pain syndrome],NS_343 [Disorders of autonomic nervous system]; NS_343.3 [Complex regional pain syndrome],"408751001 Complex regional pain syndrome, type II",1/1,,A,CM map adds specificity the code term already implies.
M4209,ICD10,6,"Juvenile osteochondrosis of spine, site unspecified","Juvenile osteochondrosis of spine, multiple sites in spine",yes,no,MS_725 [Osteochondrosis]; MS_725.1 [Spinal osteochondrosis*],MS_725 [Osteochondrosis],53406005 Juvenile osteochondrosis of spine,13/13,,A,CM map adds specificity the code term already implies.
M4204,ICD10,3,"Juvenile osteochondrosis of spine, thoracic region","Juvenile osteochondrosis of spine, thoracic region",yes,no,MS_725 [Osteochondrosis]; MS_725.1 [Spinal osteochondrosis*],MS_725 [Osteochondrosis],53406005 Juvenile osteochondrosis of spine,13/13,,A,CM map adds specificity the code term already implies.
M6156,ICD10,1,"Other ossification of muscle, lower leg","Other ossification of muscle, lower leg",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
